Start Time,English Sentence,Chinese Sentence
0:45:07.20,so you'll sleep well.,所以你会睡得很香
0:45:10.12,Thanks. I still don't quite get the three beds.,谢谢 我还是不太理解为什么有三张床
0:45:16.42,that switching out the beds as the child grows can wound that child.,在成长过程中换床会给孩子造成伤害
0:45:20.34,Irreparably.,且无法弥补
0:45:21.80,"But if you provide said child with all of its beds upon birth,",但如果你从孩子出生时起 就准备好所有尺寸的床
0:45:26.10,you allow it to progress across the room at its own rate.,你就能让孩子以自己的步调在房间里成长
0:45:29.77,Got it. Yeah.,明白了 是
0:45:36.48,Yeah.,是
0:45:38.57,"I think people really enjoyed you tonight, Mark.",我觉得大家今晚和你聊得很开心 马克
0:45:42.82,Good.,好
0:45:44.32,"All right, baby.",好了 宝贝
0:45:48.99,Thanks.,谢谢
0:45:51.54,"Good night, milord.",晚安 老爷
0:45:53.12,"Good night, milady.",晚安 夫人
0:47:51.95,Hey.,嗨
0:47:53.45,Hey.,嗨
0:47:54.95,How long you been up?,你起来多久了
0:47:56.54,A while.,有一会儿了
0:48:00.92,There was a businessman in the yard last night.,昨晚院子里有个商务人士
0:48:06.30,Entry-level or management?,刚入职的还是管理层
0:48:08.30,I'm serious.,我是认真的
0:48:09.89,There was seriously a man in my yard last night?,我的院子里昨晚真的有个人
0:48:11.68,Yeah.,对
0:48:13.51,Holy shit.,天啊
0:48:15.64,"He, you know, looked at me weird, like he knew me.",他用奇怪的眼光看着我 好像认识我
0:48:19.02,"Aw, did the prowler invading my home make you feel seen?",小偷闯到我家来 让你感觉自己被看到了
0:48:21.69,So seen.,太对了
0:48:24.48,"Well, there's a bar down the hill. It's probably just a stumbler.",山下有家酒吧 可能只是个醉鬼
0:48:28.20,"Speaking of which, you still smell like a distillery.",说到这个 你身上还是有股酿酒厂的气味
0:48:31.87,"I'm sorry, I just had to drown out the memory",抱歉 我只是必须压抑那些记忆
0:48:35.41,of Mom and Dad switching out my beds when we were kids.,让自己无法想起 妈妈和爸爸在我们小时候给我换床
0:48:39.21,You've been sitting on that one.,这话你早就想好了吧
0:49:28.80,,（皮普烧烤店 午餐
0:49:32.51,Hello.,你好
0:49:35.05,"Okay. So, recycling was last night, Mrs. Selvig.",好吧 是这样 塞尔维格太太 昨晚收可回收垃圾
0:49:40.10,Tonight's garbage.,今晚收废弃垃圾
0:49:41.48,,你总是把你的垃圾桶放我这边
0:49:47.15,Yeah. Okay.,是 好吧
0:49:49.90,,其实我现在不方便说话 我正在外面吃晚餐
0:49:54.78,"No, by myself.",不 就我自己
0:49:59.04,Pip's Bar and Grille.,皮普烧烤店
0:50:02.54,,不好意思
0:50:05.21,Hang up. Quickly.,挂掉 快
0:50:12.51,"I'm sorry, Mrs. Selvig. They've cooked the food, and it's here.",抱歉 塞尔维格太太 我点的餐做好了 上来了
0:50:18.01,"Hi, kids. What's for dinner?",嗨 孩子们 晚饭吃什么
0:50:26.02,I'm sorry. You don't get that reference.,抱歉 你听不懂我在说什么
0:50:31.24,Are you following me? Wh--,你在跟踪我吗
0:50:34.70,Your voice is different here.,你的声音在这里听起来不一样
0:50:37.20,Worse.,更难听
0:50:43.00,My name is Petey. I'm from work.,我叫佩蒂 我是你同事
0:50:47.63,,那不可能
0:50:56.39,"Okay. Well, severance is pretty permanent.",好吧 分离是永久性的
0:50:58.64,Yeah. Bypassing the implant wasn't easy. I had help.,对 绕过植入装置确实不简单 我有人帮忙
0:51:15.45,"So, what, you were unhappy at work?",那么你是对工作不满意吗
0:51:21.49,I tried that first. So did you.,我投诉过了 你也是
0:51:26.42,,是啊 好
0:51:30.96,You've unsevered.,你解除了分离
0:51:32.50,"And now you, what, think they're after you or something?",现在你认为他们在追捕你吗
0:51:41.10,Yeah.,是的
0:51:45.43,"""They"" being Graner, who's probably out here right now.",“他们”指的是格兰纳 他可能现在就在外面
0:51:49.69,,格兰纳 好吧
0:51:54.40,We both know him. We don't like him.,我们都认识 都不喜欢他
0:51:59.28,I see.,我明白了
0:52:06.21,Nothing down there is what they say.,公司里的事全都和他们说的不一样
0:52:12.04,"If something happens to me,",如果我出事了
0:52:14.71,the things I know need to stay known.,我知道的那些事必须有人知道
0:52:20.68,I'd prefer it be by a friend.,我希望是让一位朋友知道
0:52:28.19,"So, we're friends?",所以我们是朋友
0:52:32.19,I'm your best friend.,我是你最好的朋友
0:52:35.23,You're my very good friend.,你是我很好的朋友
0:53:05.60,,（生日快乐
0:53:12.10,"Mark, sorry about the card.",马克 很抱歉用这张生日卡
0:53:15.86,"I had to grab something, and I know it's not appropriate.",我必须找个东西来写 我知道这不合适
0:53:18.28,Though I'm sure you'd be a really fucking awesome niece.,不过我肯定你会是一个很棒的外甥女
0:53:23.74,"We used to wonder what kind of men we were on the outside,",我们以前会想 我们在公司之外是什么样的人
0:53:27.91,what choices we had made and why.,我们做出了怎样的选择及其原因
0:53:37.38,I used to think it would take a monster,我曾经认为只有恶魔
0:53:39.42,to put someone in a place like that office.,才会让人去那种地方上班
0:53:43.59,Especially if the person was himself.,尤其是当那个人就是他自己时
0:53:49.14,"But we're not monsters, Mark. Not real ones.",但我们不是恶魔 马克 不是真正的坏人
0:53:55.69,"If you don't wanna know what's going on down there, I won't force it.",如果你不想知道公司地下室里发生的事 我不会强迫你
0:54:02.32,"But if you do, there's an address on the back of this card.",但如果你想知道 这张卡的背面有个地址
0:54:08.33,"Go alone, and you'll find the beginning of a very long answer.",你独自前往 就会找到一个很长的答案的开端
0:54:13.21,499,（半环路
0:54:34.73,"Mark, is that you?",马克 是你吗
0:54:37.15,"Hi, Mrs. Selvig.",嗨 塞尔维格太太
0:54:39.90,Will you color me embarrassed for the mix-up with the bins?,我弄错了垃圾桶 真是太尴尬了
0:54:44.28,"No, it's no problem.",不 没关系
0:54:46.78,How was dinner?,你的晚餐如何
0:54:48.78,"Fine. I'm just, you know, tired.",挺好 我就是有点累
0:54:53.46,"You know, my mother was a Catholic.",你知道我母亲是天主教徒
0:54:56.08,She used to say it takes the saints eight hours to bless a sleeping child.,她以前说圣人要用八个小时 来祝福一位熟睡的孩子
0:55:02.67,I hope you aren't rushing the saints.,我希望你给圣人足够的时间
0:55:06.13,"Well, I'll give them ample time tonight.",我今晚会给他们足够时间的
0:55:11.14,"Good night, Mrs. Selvig.",晚安 塞尔维格太太
0:55:12.72,Mark.,马克
0:55:16.90,You're good people.,你是好人
